received_utc,valid,error,seq_gap,seq,d_pct,v_mv,i_ma,p_mw,mppt,fault,chk,computed_chk,raw_line
2026-07-12T18:29:16.071833+00:00,1,,,28,0,12000,500,6000,hd,0,40,40,"p3,seq=00028,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=40,raw=00"
2026-07-12T18:29:17.078288+00:00,1,,0,29,0,12000,500,6000,hd,0,41,41,"p3,seq=00029,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=41,raw=00"
2026-07-12T18:29:18.084272+00:00,1,,0,30,0,12000,500,6000,hd,0,42,42,"p3,seq=00030,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=42,raw=00"
2026-07-12T18:29:19.090504+00:00,1,,0,31,0,12000,500,6000,hd,0,43,43,"p3,seq=00031,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=43,raw=00"
2026-07-12T18:29:20.102617+00:00,1,,0,32,0,12000,500,6000,hd,0,7C,7C,"p3,seq=00032,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=7C,raw=00"
2026-07-12T18:29:21.107876+00:00,1,,0,33,0,12000,500,6000,hd,0,7D,7D,"p3,seq=00033,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=7D,raw=00"
2026-07-12T18:29:22.115042+00:00,1,,0,34,0,12020,506,6082,up,0,D6,D6,"p3,seq=00034,d_pct=00000,v_mv=12020,i_ma=00506,p_mw=06082,mppt=up,f=0,chk=D6,raw=01"
2026-07-12T18:29:23.121670+00:00,1,,0,35,0,12020,506,6082,hd,0,D6,D6,"p3,seq=00035,d_pct=00000,v_mv=12020,i_ma=00506,p_mw=06082,mppt=hd,f=0,chk=D6,raw=01"
2026-07-12T18:29:24.128070+00:00,1,,0,36,0,12020,506,6082,hd,0,D1,D1,"p3,seq=00036,d_pct=00000,v_mv=12020,i_ma=00506,p_mw=06082,mppt=hd,f=0,chk=D1,raw=01"
2026-07-12T18:29:25.136685+00:00,1,,0,37,0,12020,506,6082,hd,0,D0,D0,"p3,seq=00037,d_pct=00000,v_mv=12020,i_ma=00506,p_mw=06082,mppt=hd,f=0,chk=D0,raw=01"
2026-07-12T18:29:26.143513+00:00,1,,0,38,1,12060,518,6247,up,0,6D,6D,"p3,seq=00038,d_pct=00001,v_mv=12060,i_ma=00518,p_mw=06247,mppt=up,f=0,chk=6D,raw=03"
2026-07-12T18:29:27.153384+00:00,1,,0,39,1,12060,518,6247,hd,0,6D,6D,"p3,seq=00039,d_pct=00001,v_mv=12060,i_ma=00518,p_mw=06247,mppt=hd,f=0,chk=6D,raw=03"
2026-07-12T18:29:28.161794+00:00,1,,0,40,2,12140,542,6579,up,0,D9,D9,"p3,seq=00040,d_pct=00002,v_mv=12140,i_ma=00542,p_mw=06579,mppt=up,f=0,chk=D9,raw=07"
2026-07-12T18:29:29.166287+00:00,1,,0,41,5,12300,590,7257,up,0,17,17,"p3,seq=00041,d_pct=00005,v_mv=12300,i_ma=00590,p_mw=07257,mppt=up,f=0,chk=17,raw=0F"
2026-07-12T18:29:30.174637+00:00,1,,0,42,5,12300,590,7257,hd,0,15,15,"p3,seq=00042,d_pct=00005,v_mv=12300,i_ma=00590,p_mw=07257,mppt=hd,f=0,chk=15,raw=0F"
2026-07-12T18:29:31.181036+00:00,1,,0,43,12,12620,686,8657,up,0,18,18,"p3,seq=00043,d_pct=00012,v_mv=12620,i_ma=00686,p_mw=08657,mppt=up,f=0,chk=18,raw=1F"
2026-07-12T18:29:32.187427+00:00,1,,0,44,24,13260,878,11642,up,0,CF,CF,"p3,seq=00044,d_pct=00024,v_mv=13260,i_ma=00878,p_mw=11642,mppt=up,f=0,chk=CF,raw=3F"
2026-07-12T18:29:33.195958+00:00,1,,0,45,49,14540,1262,18349,up,0,96,96,"p3,seq=00045,d_pct=00049,v_mv=14540,i_ma=01262,p_mw=18349,mppt=up,f=0,chk=96,raw=7F"
2026-07-12T18:29:34.202747+00:00,1,,0,46,46,14380,1214,17457,dn,0,AE,AE,"p3,seq=00046,d_pct=00046,v_mv=14380,i_ma=01214,p_mw=17457,mppt=dn,f=0,chk=AE,raw=77"
2026-07-12T18:29:35.213689+00:00,1,,0,47,96,16940,1982,33575,up,1,CB,CB,"p3,seq=00047,d_pct=00096,v_mv=16940,i_ma=01982,p_mw=33575,mppt=up,f=1,chk=CB,raw=F7"
2026-07-12T18:29:36.219764+00:00,1,,0,48,96,16940,1982,33575,hd,1,D5,D5,"p3,seq=00048,d_pct=00096,v_mv=16940,i_ma=01982,p_mw=33575,mppt=hd,f=1,chk=D5,raw=F7"
2026-07-12T18:29:37.225803+00:00,1,,0,49,71,15660,1598,25024,dn,0,4B,4B,"p3,seq=00049,d_pct=00071,v_mv=15660,i_ma=01598,p_mw=25024,mppt=dn,f=0,chk=4B,raw=B7"
2026-07-12T18:29:38.231722+00:00,1,,0,50,71,15660,1598,25024,hd,0,4A,4A,"p3,seq=00050,d_pct=00071,v_mv=15660,i_ma=01598,p_mw=25024,mppt=hd,f=0,chk=4A,raw=B7"
2026-07-12T18:29:39.240628+00:00,1,,0,51,71,15640,1592,24898,dn,0,F8,F8,"p3,seq=00051,d_pct=00071,v_mv=15640,i_ma=01592,p_mw=24898,mppt=dn,f=0,chk=F8,raw=B6"
2026-07-12T18:29:40.246241+00:00,1,,0,52,71,15640,1592,24898,hd,0,FD,FD,"p3,seq=00052,d_pct=00071,v_mv=15640,i_ma=01592,p_mw=24898,mppt=hd,f=0,chk=FD,raw=B6"
2026-07-12T18:29:41.254367+00:00,1,,0,53,69,15560,1568,24398,dn,0,03,03,"p3,seq=00053,d_pct=00069,v_mv=15560,i_ma=01568,p_mw=24398,mppt=dn,f=0,chk=03,raw=B2"
2026-07-12T18:29:42.266273+00:00,1,,0,54,69,15560,1568,24398,hd,0,02,02,"p3,seq=00054,d_pct=00069,v_mv=15560,i_ma=01568,p_mw=24398,mppt=hd,f=0,chk=02,raw=B2"
2026-07-12T18:29:43.270645+00:00,1,,0,55,63,15240,1472,22433,dn,0,28,28,"p3,seq=00055,d_pct=00063,v_mv=15240,i_ma=01472,p_mw=22433,mppt=dn,f=0,chk=28,raw=A2"
2026-07-12T18:29:44.278448+00:00,1,,0,56,63,15240,1472,22433,hd,0,25,25,"p3,seq=00056,d_pct=00063,v_mv=15240,i_ma=01472,p_mw=22433,mppt=hd,f=0,chk=25,raw=A2"
2026-07-12T18:29:45.285200+00:00,1,,0,57,63,15240,1472,22433,hd,0,24,24,"p3,seq=00057,d_pct=00063,v_mv=15240,i_ma=01472,p_mw=22433,mppt=hd,f=0,chk=24,raw=A2"
2026-07-12T18:29:46.290876+00:00,1,,0,58,88,16520,1856,30661,up,0,BC,BC,"p3,seq=00058,d_pct=00088,v_mv=16520,i_ma=01856,p_mw=30661,mppt=up,f=0,chk=BC,raw=E2"
2026-07-12T18:29:47.298169+00:00,1,,0,59,38,13960,1088,15188,dn,0,E8,E8,"p3,seq=00059,d_pct=00038,v_mv=13960,i_ma=01088,p_mw=15188,mppt=dn,f=0,chk=E8,raw=62"
2026-07-12T18:29:48.304973+00:00,1,,0,60,38,13960,1088,15188,hd,0,ED,ED,"p3,seq=00060,d_pct=00038,v_mv=13960,i_ma=01088,p_mw=15188,mppt=hd,f=0,chk=ED,raw=62"
2026-07-12T18:29:49.318085+00:00,1,,0,61,38,13960,1088,15188,hd,0,EC,EC,"p3,seq=00061,d_pct=00038,v_mv=13960,i_ma=01088,p_mw=15188,mppt=hd,f=0,chk=EC,raw=62"
2026-07-12T18:29:50.322969+00:00,1,,0,62,38,13960,1088,15188,hd,0,EF,EF,"p3,seq=00062,d_pct=00038,v_mv=13960,i_ma=01088,p_mw=15188,mppt=hd,f=0,chk=EF,raw=62"
2026-07-12T18:29:51.328016+00:00,1,,0,63,37,13920,1076,14977,dn,0,A5,A5,"p3,seq=00063,d_pct=00037,v_mv=13920,i_ma=01076,p_mw=14977,mppt=dn,f=0,chk=A5,raw=60"
2026-07-12T18:29:52.336068+00:00,1,,0,64,37,13920,1076,14977,hd,0,D8,D8,"p3,seq=00064,d_pct=00037,v_mv=13920,i_ma=01076,p_mw=14977,mppt=hd,f=0,chk=D8,raw=60"
2026-07-12T18:29:53.342658+00:00,1,,0,65,87,16480,1844,30389,up,0,27,27,"p3,seq=00065,d_pct=00087,v_mv=16480,i_ma=01844,p_mw=30389,mppt=up,f=0,chk=27,raw=E0"
2026-07-12T18:29:54.349911+00:00,1,,0,66,87,16480,1844,30389,hd,0,25,25,"p3,seq=00066,d_pct=00087,v_mv=16480,i_ma=01844,p_mw=30389,mppt=hd,f=0,chk=25,raw=E0"
2026-07-12T18:29:55.357551+00:00,1,,0,67,87,16480,1844,30389,hd,0,24,24,"p3,seq=00067,d_pct=00087,v_mv=16480,i_ma=01844,p_mw=30389,mppt=hd,f=0,chk=24,raw=E0"
2026-07-12T18:29:56.368753+00:00,1,,0,68,87,16480,1844,30389,hd,0,23,23,"p3,seq=00068,d_pct=00087,v_mv=16480,i_ma=01844,p_mw=30389,mppt=hd,f=0,chk=23,raw=E0"
2026-07-12T18:29:57.374987+00:00,1,,0,69,94,16800,1940,32592,up,1,B6,B6,"p3,seq=00069,d_pct=00094,v_mv=16800,i_ma=01940,p_mw=32592,mppt=up,f=1,chk=B6,raw=F0"
2026-07-12T18:29:58.382185+00:00,1,,0,70,97,16960,1988,33716,up,1,29,29,"p3,seq=00070,d_pct=00097,v_mv=16960,i_ma=01988,p_mw=33716,mppt=up,f=1,chk=29,raw=F8"
2026-07-12T18:29:59.388101+00:00,1,,0,71,98,17040,2012,34284,up,1,B9,B9,"p3,seq=00071,d_pct=00098,v_mv=17040,i_ma=02012,p_mw=34284,mppt=up,f=1,chk=B9,raw=FC"
2026-07-12T18:30:00.395796+00:00,1,,0,72,99,17080,2024,34569,up,1,4E,4E,"p3,seq=00072,d_pct=00099,v_mv=17080,i_ma=02024,p_mw=34569,mppt=up,f=1,chk=4E,raw=FE"
2026-07-12T18:30:01.402931+00:00,1,,0,73,100,17100,2030,34713,up,1,AB,AB,"p3,seq=00073,d_pct=00100,v_mv=17100,i_ma=02030,p_mw=34713,mppt=up,f=1,chk=AB,raw=FF"
2026-07-12T18:30:02.408780+00:00,1,,0,74,100,17100,2030,34713,hd,1,A9,A9,"p3,seq=00074,d_pct=00100,v_mv=17100,i_ma=02030,p_mw=34713,mppt=hd,f=1,chk=A9,raw=FF"
2026-07-12T18:30:03.416108+00:00,1,,0,75,100,17100,2030,34713,hd,1,A8,A8,"p3,seq=00075,d_pct=00100,v_mv=17100,i_ma=02030,p_mw=34713,mppt=hd,f=1,chk=A8,raw=FF"
2026-07-12T18:30:04.428117+00:00,1,,0,76,100,17100,2030,34713,hd,1,AF,AF,"p3,seq=00076,d_pct=00100,v_mv=17100,i_ma=02030,p_mw=34713,mppt=hd,f=1,chk=AF,raw=FF"
2026-07-12T18:30:05.434203+00:00,1,,0,77,100,17100,2030,34713,hd,1,AE,AE,"p3,seq=00077,d_pct=00100,v_mv=17100,i_ma=02030,p_mw=34713,mppt=hd,f=1,chk=AE,raw=FF"
2026-07-12T18:30:06.440130+00:00,1,,0,78,100,17100,2030,34713,hd,1,AD,AD,"p3,seq=00078,d_pct=00100,v_mv=17100,i_ma=02030,p_mw=34713,mppt=hd,f=1,chk=AD,raw=FF"
2026-07-12T18:30:07.447222+00:00,1,,0,79,100,17100,2030,34713,hd,1,AC,AC,"p3,seq=00079,d_pct=00100,v_mv=17100,i_ma=02030,p_mw=34713,mppt=hd,f=1,chk=AC,raw=FF"
2026-07-12T18:30:08.454396+00:00,1,,0,80,100,17100,2030,34713,hd,1,B3,B3,"p3,seq=00080,d_pct=00100,v_mv=17100,i_ma=02030,p_mw=34713,mppt=hd,f=1,chk=B3,raw=FF"
2026-07-12T18:30:09.461199+00:00,1,,0,81,100,17100,2030,34713,hd,1,B2,B2,"p3,seq=00081,d_pct=00100,v_mv=17100,i_ma=02030,p_mw=34713,mppt=hd,f=1,chk=B2,raw=FF"
2026-07-12T18:30:10.468201+00:00,1,,0,82,100,17100,2030,34713,hd,1,B1,B1,"p3,seq=00082,d_pct=00100,v_mv=17100,i_ma=02030,p_mw=34713,mppt=hd,f=1,chk=B1,raw=FF"
2026-07-12T18:30:11.479886+00:00,1,,0,83,100,17100,2030,34713,hd,1,B0,B0,"p3,seq=00083,d_pct=00100,v_mv=17100,i_ma=02030,p_mw=34713,mppt=hd,f=1,chk=B0,raw=FF"
2026-07-12T18:30:12.485190+00:00,1,,0,84,100,17100,2030,34713,hd,1,B7,B7,"p3,seq=00084,d_pct=00100,v_mv=17100,i_ma=02030,p_mw=34713,mppt=hd,f=1,chk=B7,raw=FF"
2026-07-12T18:30:13.491377+00:00,1,,0,85,100,17100,2030,34713,hd,1,B6,B6,"p3,seq=00085,d_pct=00100,v_mv=17100,i_ma=02030,p_mw=34713,mppt=hd,f=1,chk=B6,raw=FF"
2026-07-12T18:30:14.498529+00:00,1,,0,86,100,17100,2030,34713,hd,1,B5,B5,"p3,seq=00086,d_pct=00100,v_mv=17100,i_ma=02030,p_mw=34713,mppt=hd,f=1,chk=B5,raw=FF"
2026-07-12T18:30:15.505859+00:00,1,,0,87,100,17100,2030,34713,hd,1,B4,B4,"p3,seq=00087,d_pct=00100,v_mv=17100,i_ma=02030,p_mw=34713,mppt=hd,f=1,chk=B4,raw=FF"
2026-07-12T18:30:16.512575+00:00,1,,0,88,100,17100,2030,34713,hd,1,BB,BB,"p3,seq=00088,d_pct=00100,v_mv=17100,i_ma=02030,p_mw=34713,mppt=hd,f=1,chk=BB,raw=FF"
2026-07-12T18:30:17.527009+00:00,1,,0,89,100,17100,2030,34713,hd,1,BA,BA,"p3,seq=00089,d_pct=00100,v_mv=17100,i_ma=02030,p_mw=34713,mppt=hd,f=1,chk=BA,raw=FF"
2026-07-12T18:30:18.529819+00:00,1,,0,90,48,14480,1244,18013,dn,0,7F,7F,"p3,seq=00090,d_pct=00048,v_mv=14480,i_ma=01244,p_mw=18013,mppt=dn,f=0,chk=7F,raw=7C"
2026-07-12T18:30:19.536439+00:00,1,,0,91,6,12320,596,7342,dn,0,BB,BB,"p3,seq=00091,d_pct=00006,v_mv=12320,i_ma=00596,p_mw=07342,mppt=dn,f=0,chk=BB,raw=10"
2026-07-12T18:30:20.542941+00:00,1,,0,92,0,12000,500,6000,dn,0,02,02,"p3,seq=00092,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=dn,f=0,chk=02,raw=00"
2026-07-12T18:30:21.549868+00:00,1,,0,93,0,12000,500,6000,hd,0,01,01,"p3,seq=00093,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=01,raw=00"
2026-07-12T18:30:22.556553+00:00,1,,0,94,0,12000,500,6000,hd,0,02,02,"p3,seq=00094,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=02,raw=00"
2026-07-12T18:30:23.568293+00:00,1,,0,95,0,12000,500,6000,hd,0,03,03,"p3,seq=00095,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=03,raw=00"
2026-07-12T18:30:24.573858+00:00,1,,0,96,0,12000,500,6000,hd,0,3C,3C,"p3,seq=00096,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=3C,raw=00"
2026-07-12T18:30:25.581115+00:00,1,,0,97,0,12000,500,6000,hd,0,3D,3D,"p3,seq=00097,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=3D,raw=00"
2026-07-12T18:30:26.587768+00:00,1,,0,98,0,12000,500,6000,hd,0,3E,3E,"p3,seq=00098,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=3E,raw=00"
2026-07-12T18:30:27.594062+00:00,1,,0,99,0,12000,500,6000,hd,0,3F,3F,"p3,seq=00099,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=3F,raw=00"
2026-07-12T18:30:28.601901+00:00,1,,0,100,0,12000,500,6000,hd,0,38,38,"p3,seq=00100,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=38,raw=00"
2026-07-12T18:30:29.607815+00:00,1,,0,101,0,12000,500,6000,hd,0,39,39,"p3,seq=00101,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=39,raw=00"
2026-07-12T18:30:30.622486+00:00,1,,0,102,0,12000,500,6000,hd,0,3A,3A,"p3,seq=00102,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=3A,raw=00"
2026-07-12T18:30:31.625747+00:00,1,,0,103,0,12000,500,6000,hd,0,3B,3B,"p3,seq=00103,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=3B,raw=00"
2026-07-12T18:30:32.632729+00:00,1,,0,104,0,12000,500,6000,hd,0,34,34,"p3,seq=00104,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=34,raw=00"
2026-07-12T18:30:33.639617+00:00,1,,0,105,0,12000,500,6000,hd,0,35,35,"p3,seq=00105,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=35,raw=00"
2026-07-12T18:30:34.646571+00:00,1,,0,106,0,12000,500,6000,hd,0,36,36,"p3,seq=00106,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=36,raw=00"
2026-07-12T18:30:35.653015+00:00,1,,0,107,0,12000,500,6000,hd,0,37,37,"p3,seq=00107,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=37,raw=00"
2026-07-12T18:30:36.663658+00:00,1,,0,108,0,12000,500,6000,hd,0,30,30,"p3,seq=00108,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=30,raw=00"
2026-07-12T18:30:37.670602+00:00,1,,0,109,0,12000,500,6000,hd,0,31,31,"p3,seq=00109,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=31,raw=00"
2026-07-12T18:30:38.678062+00:00,1,,0,110,0,12000,500,6000,hd,0,32,32,"p3,seq=00110,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=32,raw=00"
2026-07-12T18:30:39.684069+00:00,1,,0,111,0,12000,500,6000,hd,0,33,33,"p3,seq=00111,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=33,raw=00"
2026-07-12T18:30:40.691565+00:00,1,,0,112,0,12000,500,6000,hd,0,2C,2C,"p3,seq=00112,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=2C,raw=00"
2026-07-12T18:30:41.698242+00:00,1,,0,113,0,12000,500,6000,hd,0,2D,2D,"p3,seq=00113,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=2D,raw=00"
2026-07-12T18:30:42.704899+00:00,1,,0,114,0,12000,500,6000,hd,0,2E,2E,"p3,seq=00114,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=2E,raw=00"
2026-07-12T18:30:43.712260+00:00,1,,0,115,0,12000,500,6000,hd,0,2F,2F,"p3,seq=00115,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=2F,raw=00"
2026-07-12T18:30:44.724714+00:00,1,,0,116,0,12000,500,6000,hd,0,28,28,"p3,seq=00116,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=28,raw=00"
2026-07-12T18:30:45.729856+00:00,1,,0,117,0,12000,500,6000,hd,0,29,29,"p3,seq=00117,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=29,raw=00"
2026-07-12T18:30:46.735809+00:00,1,,0,118,0,12000,500,6000,hd,0,2A,2A,"p3,seq=00118,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=2A,raw=00"
2026-07-12T18:30:47.744145+00:00,1,,0,119,0,12000,500,6000,hd,0,2B,2B,"p3,seq=00119,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=2B,raw=00"
2026-07-12T18:30:48.749495+00:00,1,,0,120,0,12000,500,6000,hd,0,24,24,"p3,seq=00120,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=24,raw=00"
2026-07-12T18:30:49.756572+00:00,1,,0,121,0,12000,500,6000,hd,0,25,25,"p3,seq=00121,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=25,raw=00"
2026-07-12T18:30:50.763546+00:00,1,,0,122,0,12000,500,6000,hd,0,26,26,"p3,seq=00122,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=26,raw=00"
2026-07-12T18:30:51.774788+00:00,1,,0,123,0,12000,500,6000,hd,0,27,27,"p3,seq=00123,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=27,raw=00"
2026-07-12T18:30:52.781593+00:00,1,,0,124,0,12000,500,6000,hd,0,20,20,"p3,seq=00124,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=20,raw=00"
2026-07-12T18:30:53.787306+00:00,1,,0,125,0,12000,500,6000,hd,0,21,21,"p3,seq=00125,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=21,raw=00"
2026-07-12T18:30:54.794873+00:00,1,,0,126,0,12000,500,6000,hd,0,22,22,"p3,seq=00126,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=22,raw=00"
2026-07-12T18:30:55.802581+00:00,1,,0,127,0,12000,500,6000,hd,0,23,23,"p3,seq=00127,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=23,raw=00"
2026-07-12T18:30:56.808600+00:00,1,,0,128,0,12000,500,6000,hd,0,DC,DC,"p3,seq=00128,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=DC,raw=00"
2026-07-12T18:30:57.815068+00:00,1,,0,129,0,12000,500,6000,hd,0,DD,DD,"p3,seq=00129,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=DD,raw=00"
2026-07-12T18:30:58.822993+00:00,1,,0,130,0,12000,500,6000,hd,0,DE,DE,"p3,seq=00130,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=DE,raw=00"
2026-07-12T18:30:59.834083+00:00,1,,0,131,0,12000,500,6000,hd,0,DF,DF,"p3,seq=00131,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=DF,raw=00"
2026-07-12T18:31:00.839906+00:00,1,,0,132,50,14560,1268,18462,up,0,49,49,"p3,seq=00132,d_pct=00050,v_mv=14560,i_ma=01268,p_mw=18462,mppt=up,f=0,chk=49,raw=80"
2026-07-12T18:31:01.847635+00:00,1,,0,133,50,14560,1268,18462,hd,0,49,49,"p3,seq=00133,d_pct=00050,v_mv=14560,i_ma=01268,p_mw=18462,mppt=hd,f=0,chk=49,raw=80"
2026-07-12T18:31:02.853911+00:00,1,,0,134,50,14560,1268,18462,hd,0,4A,4A,"p3,seq=00134,d_pct=00050,v_mv=14560,i_ma=01268,p_mw=18462,mppt=hd,f=0,chk=4A,raw=80"
2026-07-12T18:31:03.862342+00:00,1,,0,135,50,14560,1268,18462,hd,0,4B,4B,"p3,seq=00135,d_pct=00050,v_mv=14560,i_ma=01268,p_mw=18462,mppt=hd,f=0,chk=4B,raw=80"
2026-07-12T18:31:04.868025+00:00,1,,0,136,50,14560,1268,18462,hd,0,44,44,"p3,seq=00136,d_pct=00050,v_mv=14560,i_ma=01268,p_mw=18462,mppt=hd,f=0,chk=44,raw=80"
2026-07-12T18:31:05.875088+00:00,1,,0,137,50,14560,1268,18462,hd,0,45,45,"p3,seq=00137,d_pct=00050,v_mv=14560,i_ma=01268,p_mw=18462,mppt=hd,f=0,chk=45,raw=80"
2026-07-12T18:31:06.883057+00:00,1,,0,138,50,14560,1268,18462,hd,0,46,46,"p3,seq=00138,d_pct=00050,v_mv=14560,i_ma=01268,p_mw=18462,mppt=hd,f=0,chk=46,raw=80"
2026-07-12T18:31:07.889531+00:00,1,,0,139,0,12000,500,6000,dn,0,D5,D5,"p3,seq=00139,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=dn,f=0,chk=D5,raw=00"
2026-07-12T18:31:08.902204+00:00,1,,0,140,0,12000,500,6000,hd,0,D0,D0,"p3,seq=00140,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=D0,raw=00"
2026-07-12T18:31:09.907680+00:00,1,,0,141,0,12000,500,6000,hd,0,D1,D1,"p3,seq=00141,d_pct=00000,v_mv=12000,i_ma=00500,p_mw=06000,mppt=hd,f=0,chk=D1,raw=00"
2026-07-12T18:31:10.913792+00:00,1,,0,142,50,14560,1268,18462,up,0,43,43,"p3,seq=00142,d_pct=00050,v_mv=14560,i_ma=01268,p_mw=18462,mppt=up,f=0,chk=43,raw=80"
2026-07-12T18:31:11.920824+00:00,1,,0,143,75,15840,1652,26167,up,0,FB,FB,"p3,seq=00143,d_pct=00075,v_mv=15840,i_ma=01652,p_mw=26167,mppt=up,f=0,chk=FB,raw=C0"
2026-07-12T18:31:12.928066+00:00,1,,0,144,75,15840,1652,26167,hd,0,E5,E5,"p3,seq=00144,d_pct=00075,v_mv=15840,i_ma=01652,p_mw=26167,mppt=hd,f=0,chk=E5,raw=C0"
2026-07-12T18:31:13.935459+00:00,1,,0,145,75,15840,1652,26167,hd,0,E4,E4,"p3,seq=00145,d_pct=00075,v_mv=15840,i_ma=01652,p_mw=26167,mppt=hd,f=0,chk=E4,raw=C0"
2026-07-12T18:31:14.942922+00:00,1,,0,146,87,16480,1844,30389,up,0,F4,F4,"p3,seq=00146,d_pct=00087,v_mv=16480,i_ma=01844,p_mw=30389,mppt=up,f=0,chk=F4,raw=E0"
2026-07-12T18:31:15.948266+00:00,1,,0,147,87,16480,1844,30389,hd,0,F4,F4,"p3,seq=00147,d_pct=00087,v_mv=16480,i_ma=01844,p_mw=30389,mppt=hd,f=0,chk=F4,raw=E0"
2026-07-12T18:31:16.959825+00:00,1,,0,148,94,16800,1940,32592,up,1,67,67,"p3,seq=00148,d_pct=00094,v_mv=16800,i_ma=01940,p_mw=32592,mppt=up,f=1,chk=67,raw=F0"
2026-07-12T18:31:17.970220+00:00,1,,0,149,94,16800,1940,32592,hd,1,67,67,"p3,seq=00149,d_pct=00094,v_mv=16800,i_ma=01940,p_mw=32592,mppt=hd,f=1,chk=67,raw=F0"
2026-07-12T18:31:18.972508+00:00,1,,0,150,94,16800,1940,32592,hd,1,64,64,"p3,seq=00150,d_pct=00094,v_mv=16800,i_ma=01940,p_mw=32592,mppt=hd,f=1,chk=64,raw=F0"
2026-07-12T18:31:19.981525+00:00,1,,0,151,87,16480,1844,30389,dn,0,F2,F2,"p3,seq=00151,d_pct=00087,v_mv=16480,i_ma=01844,p_mw=30389,mppt=dn,f=0,chk=F2,raw=E0"
